month,year,topic,topic_id,rank,count,total_articles,percentage,source
11,2018,suspect killed california / autopsies begin / profiling chief,4,2,149,1000,14.899999999999999,fox
11,2018,smuggling refugees / kabul casualties president / court maldives revokes,3,3,67,1000,6.7,fox
11,2019,obama presidency jeb / debt nearly doubles / protect classified info,2,1,213,1000,21.3,fox
11,2019,leah remini dont / magicians take stage / two weeks gisele,5,2,126,1000,12.6,fox
11,2019,suspect killed california / autopsies begin / profiling chief,4,3,123,1000,12.3,fox
11,2020,obama presidency jeb / debt nearly doubles / protect classified info,2,1,333,1000,33.300000000000004,fox
11,2020,chipotle coli outbreak / living atm keypads / africa tackles human,1,2,143,1000,14.299999999999999,fox
11,2020,suspect killed california / autopsies begin / profiling chief,4,3,71,1000,7.1,fox
11,2021,obama presidency jeb / debt nearly doubles / protect classified info,2,1,197,1000,19.7,fox
11,2021,suspect killed california / autopsies begin / profiling chief,4,2,95,1000,9.5,fox
11,2021,chipotle coli outbreak / living atm keypads / africa tackles human,1,3,82,1000,8.200000000000001,fox
11,2022,obama presidency jeb / debt nearly doubles / protect classified info,2,1,256,1000,25.6,fox
11,2022,suspect killed california / autopsies begin / profiling chief,4,2,165,1000,16.5,fox
11,2022,leah remini dont / magicians take stage / two weeks gisele,5,3,64,1000,6.4,fox
11,2023,obama presidency jeb / debt nearly doubles / protect classified info,2,1,154,1000,15.4,fox
11,2023,suspect killed california / autopsies begin / profiling chief,4,2,150,1000,15.0,fox
11,2023,leah remini dont / magicians take stage / two weeks gisele,5,3,62,1000,6.2,fox
11,2024,obama presidency jeb / debt nearly doubles / protect classified info,2,1,406,1000,40.6,fox
11,2024,suspect killed california / autopsies begin / profiling chief,4,2,78,1000,7.8,fox
11,2024,leah remini dont / magicians take stage / two weeks gisele,5,3,65,1000,6.5,fox
12,2015,colombian navy rescues / 200 drug maker / increase court issues,1,1,836,1000,83.6,fox
12,2015,zika threats cdc / siegel prevent needless / mariah carey,0,2,6,1000,0.6,fox
12,2016,colombian navy rescues / 200 drug maker / increase court issues,1,1,913,1000,91.3,fox
12,2016,zika threats cdc / siegel prevent needless / mariah carey,0,2,10,1000,1.0,fox
12,2017,colombian navy rescues / 200 drug maker / increase court issues,1,1,939,1000,93.89999999999999,fox
12,2018,colombian navy rescues / 200 drug maker / increase court issues,1,1,893,1000,89.3,fox
12,2018,zika threats cdc / siegel prevent needless / mariah carey,0,2,6,1000,0.6,fox
12,2019,colombian navy rescues / 200 drug maker / increase court issues,1,1,910,1000,91.0,fox
12,2019,zika threats cdc / siegel prevent needless / mariah carey,0,2,4,1000,0.4,fox
12,2020,colombian navy rescues / 200 drug maker / increase court issues,1,1,702,1000,70.19999999999999,fox
12,2020,zika threats cdc / siegel prevent needless / mariah carey,0,2,202,1000,20.200000000000003,fox
12,2021,colombian navy rescues / 200 drug maker / increase court issues,1,1,732,1000,73.2,fox
12,2021,zika threats cdc / siegel prevent needless / mariah carey,0,2,142,1000,14.2,fox
12,2022,colombian navy rescues / 200 drug maker / increase court issues,1,1,857,1000,85.7,fox
12,2022,zika threats cdc / siegel prevent needless / mariah carey,0,2,21,1000,2.1,fox
12,2023,colombian navy rescues / 200 drug maker / increase court issues,1,1,871,1000,87.1,fox
12,2023,zika threats cdc / siegel prevent needless / mariah carey,0,2,8,1000,0.8,fox
12,2024,colombian navy rescues / 200 drug maker / increase court issues,1,1,831,1000,83.1,fox
12,2024,zika threats cdc / siegel prevent needless / mariah carey,0,2,8,1000,0.8,fox
1,2016,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,265,1000,26.5,abc
1,2016,isis algerian / feds thwart / rail strike reforms,0,2,134,1000,13.4,abc
1,2016,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,83,1000,8.3,abc
