month,year,topic,rank,count,total_articles,percentage,source
12,2023,"TAX_ETHNICITY_ARAB,41",2,10,1000,1.0,abc
12,2023,"LEADER,16",3,8,1000,0.8,abc
1,2024,"LEADER,16",1,9,1000,0.8999999999999999,abc
1,2024,"TAX_FNCACT_PRESIDENT,16",2,9,1000,0.8999999999999999,abc
1,2024,"USPEC_POLITICS_GENERAL1,16",3,9,1000,0.8999999999999999,abc
2,2024,"ARMEDCONFLICT,26",1,8,1000,0.8,abc
2,2024,"EPU_CATS_NATIONAL_SECURITY,26",2,8,1000,0.8,abc
2,2024,"TERROR,76",3,8,1000,0.8,abc
3,2024,"USPEC_POLITICS_GENERAL1,35",1,9,1000,0.8999999999999999,abc
3,2024,"LEADER,35",2,8,1000,0.8,abc
3,2024,"LEADER,9",3,8,1000,0.8,abc
4,2024,"LEADER,35",1,7,1000,0.7000000000000001,abc
4,2024,"TAX_FNCACT_PRESIDENT,35",2,7,1000,0.7000000000000001,abc
4,2024,"USPEC_POLITICS_GENERAL1,35",3,7,1000,0.7000000000000001,abc
5,2024,"LEADER,16",1,9,1000,0.8999999999999999,abc
5,2024,"TAX_FNCACT_PRESIDENT,16",2,9,1000,0.8999999999999999,abc
5,2024,"USPEC_POLITICS_GENERAL1,16",3,9,1000,0.8999999999999999,abc
6,2024,"TAX_ETHNICITY_ARAB,18",1,13,1000,1.3,abc
6,2024,"TAX_ETHNICITY_ARAB,41",2,13,1000,1.3,abc
6,2024,"LEADER,40",3,7,1000,0.7000000000000001,abc
7,2024,"LEADER,40",1,10,1000,1.0,abc
7,2024,"USPEC_POLITICS_GENERAL1,35",2,9,1000,0.8999999999999999,abc
7,2024,"LEADER,16",3,9,1000,0.8999999999999999,abc
8,2024,"LEADER,14",1,11,1000,1.0999999999999999,abc
8,2024,"TAX_FNCACT_PRESIDENT,14",2,11,1000,1.0999999999999999,abc
8,2024,"USPEC_POLITICS_GENERAL1,14",3,11,1000,1.0999999999999999,abc
