source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date
Fox News,"WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,1257",0.0008327708091351565,832.3384693080054,0.5442743654330555,3,,2022-02-01 13:45:00
Fox News,"WB_1199_WATER_SUPPLY_AND_SANITATION,734",0.00020825121114954515,3328.418484261282,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_1331_HEALTH_TECHNOLOGIES,930",8.592623832512331e-05,8066.769755906809,0.24762872926693846,5,,2015-10-04 19:00:00
Fox News,"WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,1518",2.2161995126728467e-05,31276.388998207807,0.04100856076893267,12,,2016-04-12 17:30:00
Fox News,"WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,47",2.2306208166012073e-05,31074.18237117021,0.009292755062322855,305,,2015-03-20 16:45:00
Fox News,"WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,66",2.3136195568883984e-05,29959.427793399333,0.054761077713696094,24,,2015-12-18 22:30:00
Fox News,"WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,718",5.82781645643421e-05,11893.771633708111,0.17196053295461067,11,,2017-11-03 17:30:00
Fox News,"WB_1350_PHARMACEUTICALS,930",8.592623832512331e-05,8066.769755906809,0.24762872926693846,5,,2015-10-04 19:00:00
Fox News,"WB_135_TRANSPORT,158",1.83580844579457e-05,37757.05369194655,0.016066727490985144,8,,2015-04-22 15:15:00
Fox News,"WB_135_TRANSPORT,3139",0.000169508824459935,4089.1510089126787,1.0,2,,2016-11-04 15:15:00
Fox News,"WB_135_TRANSPORT,4",4.69740656080249e-05,14755.954622789352,0.03971803040650701,7,,2016-07-14 04:45:00
Fox News,"WB_135_TRANSPORT,998",0.0001594000977686725,4348.4739988420015,0.9938301449398869,3,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,1103",0.00012679595696113053,5466.6347190583565,0.2535094974166532,4,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,1443",0.00010663132384969473,6500.408656062368,0.46193350943535194,3,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,1587",0.00012178179719031884,5691.714168716897,0.957068041088828,5,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,1795",0.00012229597149259144,5667.784245877105,0.5867695596589284,6,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,2051",0.0008429628027196765,822.2749311400497,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,2213",0.001369814554419474,506.01534224003063,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,2263",8.97264134354549e-05,7725.118546709368,0.48164326581258143,5,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,2539",9.358399956607696e-05,7406.684730016631,0.4887328530086601,5,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,2775",0.0002237191101272892,3098.2922297767327,0.9564746007742772,3,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3152",9.734853292313173e-05,7120.263241226939,0.39927137258868906,4,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3281",0.0009129932512509032,759.2029619170305,0.25669589950225147,3,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3573",0.00017461890960730595,3969.4852185180775,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3599",0.00010723168546117517,6464.014601457603,0.30982177505704145,3,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3694",0.00018165999467211668,3815.6292022964467,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,3937",0.00013430444124152514,5161.014588590042,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,4228",0.02027325540540822,34.19022582702909,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_137_WATER,725",6.869765152589904e-05,10089.823526188935,0.2766779747466369,4,,2015-04-29 04:00:00
