Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Denmark,2011,99.530517578125,61753.647131977,87.2037887573242,5570572.0,13386.0,7.769
Denmark,2012,98.1220626831055,58507.5080517852,75.8293838500977,5591572.0,11797.0,7.798
Denmark,2013,98.591552734375,61191.1937042028,80.0947875976562,5614932.0,13153.0,7.384
Denmark,2014,99.5192337036133,62548.9847332908,78.5714263916016,5643475.0,17767.0,6.925
Denmark,2015,99.523811340332,53254.8563700916,76.6666641235352,5683483.0,27312.0,6.278
Denmark,2016,97.6190490722656,54663.9983719195,75.2380981445312,5728010.0,33501.0,5.989
Denmark,2017,97.6190490722656,57610.0981801135,75.2380981445312,5764980.0,35668.0,5.833
Denmark,2018,96.6666641235352,61591.9288698958,80.1886825561523,5793636.0,36623.0,5.131
Denmark,2019,97.1428604125977,59592.9806886454,81.1320724487305,5814422.0,37533.0,5.018
Denmark,2020,98.0952377319336,60836.5924121638,78.301887512207,5831404.0,36643.0,5.637
Denmark,2021,99.0476226806641,69268.6517983134,80.1886825561523,5856733.0,36023.0,5.043
Denmark,2022,99.5283050537109,67790.0539923276,76.8867950439453,5903037.0,67772.0,4.434
Estonia,2010,85.3080596923828,14663.0446126465,67.7725143432617,1331475.0,31.0,16.707
Estonia,2011,85.9154891967773,17487.8047830922,67.2985763549805,1327439.0,34.0,12.328
Estonia,2012,85.9154891967773,17403.2053254767,67.2985763549805,1322696.0,48.0,10.021
Estonia,2013,86.3849792480469,19056.0019226989,68.2464447021484,1317997.0,52.0,8.631
Estonia,2014,87.0192337036133,20261.0667303886,72.8571395874023,1314545.0,82.0,7.352
Estonia,2015,87.1428604125977,17402.0376128079,65.2380981445312,1315407.0,158.0,6.412
Estonia,2016,85.7142868041992,18295.3429322114,68.0952377319336,1315790.0,312.0,6.882
Estonia,2017,85.7142868041992,20437.765376736,68.5714263916016,1317384.0,405.0,5.807
Estonia,2018,85.7142868041992,23165.8494786437,65.0943374633789,1321977.0,319.0,5.412
Estonia,2019,86.1904754638672,23581.656836882,67.4528274536133,1326898.0,331.0,4.514
Estonia,2020,88.0952377319336,23565.1759437969,70.7547149658203,1329522.0,277.0,6.956
Estonia,2021,88.5714263916016,27698.4793450267,70.7547149658203,1330932.0,321.0,6.178
Estonia,2022,89.6226425170898,28114.1431760201,71.2264175415039,1348840.0,40806.0,5.571
Finland,2010,100.0,46505.3031791811,97.1563949584961,5363352.0,8721.0,8.394
Finland,2011,100.0,51148.9316365833,98.1042633056641,5388272.0,9170.0,7.781
Finland,2012,99.530517578125,47708.0612784469,98.1042633056641,5413971.0,9910.0,7.689
Finland,2013,99.530517578125,49892.2233632732,97.1563949584961,5438972.0,11242.0,8.193
Finland,2014,100.0,50327.2402902632,96.1904754638672,5461512.0,11783.0,8.663
Finland,2015,100.0,42801.9081167285,85.7142868041992,5479531.0,12692.0,9.376
Finland,2016,100.0,43814.0265056965,84.7619018554688,5495303.0,18402.0,8.818
Finland,2017,100.0,46412.1364777169,86.6666641235352,5508214.0,20793.0,8.64
Finland,2018,100.0,49987.6261584968,77.8301849365234,5515525.0,22287.0,7.361
Finland,2019,100.0,48629.8582283032,75.9433975219727,5521606.0,23458.0,6.695
Finland,2020,100.0,49169.7193388499,80.6603775024414,5529543.0,23428.0,7.759
Finland,2021,100.0,53504.6936483441,83.4905624389648,5541017.0,24078.0,7.617
Finland,2022,100.0,50734.7107480889,78.7735824584961,5556106.0,69553.0,6.719
France,2010,90.5213241577148,40676.0647913181,68.7203826904297,65030575.0,200687.0,9.279
France,2011,89.6713638305664,43846.4660764798,65.4028472900391,65345233.0,210207.0,9.228
France,2012,89.6713638305664,40870.8523645734,63.5071105957031,65662240.0,217865.0,9.841
France,2013,89.2018814086914,42602.7179652667,62.0853080749512,66002289.0,232487.0,9.913
France,2014,88.461540222168,43068.5487241739,58.0952377319336,66312067.0,252248.0,10.273
France,2015,87.6190490722656,36652.9223052178,51.4285697937012,66548272.0,273117.0,10.354
France,2016,87.6190490722656,37062.5335723829,42.8571434020996,66724104.0,304527.0,10.057
France,2017,88.5714263916016,38781.0494870836,56.1904754638672,66918020.0,337158.0,9.41
France,2018,88.0952377319336,41557.8548588876,48.113208770752,67158348.0,368345.0,9.018
France,2019,88.5714263916016,40494.8982936276,57.0754699707031,67388001.0,407915.0,8.415
France,2020,87.1428604125977,39179.7442596057,56.1320762634277,67571107.0,436055.0,8.01
France,2021,87.1428604125977,43671.3084099631,56.6037750244141,67764304.0,499914.0,7.874
France,2022,85.3773574829102,40886.2532680273,57.0754699707031,67971311.0,612934.0,7.308
Georgia,2010,48.8151664733887,3281.72930937343,24.1706161499023,3786695.0,638.0,20.203
Georgia,2011,51.6431922912598,4119.66818307193,27.014217376709,3756441.0,461.0,19.632
Georgia,2012,55.3990592956543,4530.69533409431,24.1706161499023,3728874.0,468.0,19.653
Georgia,2013,54.9295768737793,4712.00229382665,31.2796211242676,3717668.0,847.0,19.416
Georgia,2014,63.9423065185547,4830.33486170249,34.761905670166,3719414.0,858.0,17.439
Georgia,2015,61.9047622680664,4086.6223465965,29.5238094329834,3725276.0,1973.0,16.506
Georgia,2016,61.9047622680664,4143.40125686315,33.8095245361328,3727505.0,2122.0,16.604
Georgia,2017,60.0,4418.75206546679,31.4285717010498,3728004.0,2089.0,13.939
Georgia,2018,60.9523811340332,4804.0546040444,30.1886787414551,3726549.0,1987.0,12.667
